Giving Entity ID,Donor,Website,Currently Operating?,Product Type,Details,Email Address,Phone Number,Address,EIN,Total Donated,Number of Donations,Date of Most Recent Donation,Amount of Most Recent Donation,Most Recent Thank You,Notes,,,,,,,,,,,,,
UNK1507,Amazon Smile Foundation,N/A,Defunct,Fundraising Service,Donates 0.5% of the price of eligible purchases,N/A,N/A,N/A,N/A,"$1,616.28 ",37,5/31/2023,$37.55 ,,,,,,,,,,,,,,,
UNK1508,"Antique Portraiture, Inc.",www.promotionalphotographers.com,Operating,Private Business,Portraiture,customerservice@promotionalphotographers.com,(562) 801-4733,"9587 Slauson Avenue, 
Pico Rivera, CA 90660",N/A,$554.00 ,3,2/4/2014,$222.00 ,,,,,,,,,,,,,,,
UNK1509,Ardon V. City of LA Claims Admin,N/A,Defunct,N/A,Lawsuit pay-out,N/A,N/A,N/A,N/A,$50.00 ,1,12/26/2019,$50.00 ,,,,,,,,,,,,,,,
UNK1576,Benevity,https://benevity.com/,Operating,Fundraising Service,"The firm's products support companies in managing and tracking their employees' charitable giving, promoting charitable giving and volunteering, while reducing the costs of companies processing donations themselves.",N/A,N/A,N/A,N/A,$238.00 ,1,5/31/2022,$238.00 ,,,,,,,,,,,,,,,
UNK1510,Big Sunday,https://bigsunday.org/,Operating,Fundraising Service,"We offer an enormous variety of opportunities and projects that unite people to improve lives, build community, and give everyone a sense of belonging.",info@bigsunday.org,323-549-9944,"1741 North Cherokee Avenue, 
Los Angeles, CA 90028",42-1765317,$396.93 ,1,6/14/2011,$396.93 ,,,,,,,,,,,,,,,
UNK1511,"Books Are Fun, Ltd.",https://booksarefun.com/,Operating,Fundraising Service,"Our program partners with schools to provide students access to a diverse range of books at home, encouraging literacy, imagination, and lifelong learning.",bookblastsupport@booksarefun.com,833-425-7736,"1140 US Hwy 287, Ste. 400, Box 299, 
Broomfield, CO 80020",N/A,"$2,884.25 ",6,9/21/2009,$405.00 ,,,,,,,,,,,,,,,
UNK1512,Bubblemania and Company LA,https://www.bubblemaniaandco.com/,Operating,Event Planning,"We provide the best kids party entertainment in town for first communion, Christmas, Halloween, family reunion, preschool events, and more. With bubbles inside giant bubbles, colorful balloons twisted in different sizes & shapes and creative face paintings and temporary tattoos, hire the best kid’s party entertainers to bring fun and enjoyment to your event.",bubblemania87@gmail.com,310 446 6115,"Bubblemania and Company, 12405 Venice Blvd, #384, Los Angeles, CA 90066",N/A,$100.00 ,1,4/17/2014,$100.00 ,,,,,,,,,,,,,,,
,Caplan Foundation for Early Childhood,https://earlychildhoodfoundation.org/,Operating,Grant-giving,"The Caplan Foundation for Early Childhood is an incubator of promising research and development projects that appear likely to improve the welfare of young children, from infancy through 7 years, in the United States.",info@earlychildhoodfoundation.org,1 570 484 5155,"Caplan Foundation for Early Childhood
c/o Amanda Liedtka, CPA
P.O. Box 746 Lock Haven, PA
17745",,,,,,,,,,,,,,,,,,,,
,Charles Stewart Mott Foundation,https://www.mott.org/,Operating,Grant-giving,"Over more than nine decades, the Mott Foundation has sought to advance and strengthen the well-being of all aspects of community — from individuals and families to the institutions that serve them. We continue to refine our work to reflect changing conditions in our hometown of Flint and communities around the world. Learn more about how we pursue our mission of promoting a just, equitable and sustainable society.",,,,,,,,,,"Submitting Inquiries
Using our online LOI form is the best way to introduce your work to us and ensure a timely response. However, if you prefer to mail your information, please mark the envelope LETTER OF INQUIRY and mail to:

Office of Proposal Entry
Charles Stewart Mott Foundation
Mott Foundation Building
503 S. Saginaw Street, Suite 1200
Flint, MI 48502-1851
U.S.A.

The letter should describe the purpose and objectives of the project, general methodology and total cost of the project.",,,,,,,,,,,,,
UNK1513,"Child Related Research, Inc.",https://crr.net/,Operating,Private Business,"Since 1970, the team at Child Related Research has been dedicated to package research. Our sole focus is on senior-friendly and child-resistant packaging certification for several industries, including pharmaceuticals, beauty/cosmetics, household chemicals, and EPA-specific businesses.",N/A,(801) 904-3893,"448 East Winchester Street 
Suite 140, 
Murray, Utah 84107",N/A,$20.00 ,2,10/28/2010,$10.00 ,,,,,,,,,,,,,,,
