Date,Description
1/1/2000,New Year's Day
1/14/2000,Staff Development Day
1/17/2000,Martin Luther King Jr. Day
2/18/2000,Staff Development Day
2/21/2000,Presidents' Day
5/26/2000,Staff Development Day
5/29/2000,Memorial Day
7/4/2000,Independence Day
9/1/2000,Staff Development Day
9/4/2000,Labor Day
10/6/2000,Staff Development Day
10/9/2000,Columbus Day
11/11/2000,Veterans Day
11/23/2000,Thanksgiving Day
12/22/2000,Staff Development Day
12/25/2000,Christmas Day
12/29/2000,Staff Development Day
1/1/2001,New Year's Day
1/12/2001,Staff Development Day
1/15/2001,Martin Luther King Jr. Day
1/20/2001,Inauguration Day
2/16/2001,Staff Development Day
2/19/2001,Presidents' Day
5/25/2001,Staff Development Day
5/28/2001,Memorial Day
7/4/2001,Independence Day
8/31/2001,Staff Development Day
9/3/2001,Labor Day
10/5/2001,Staff Development Day
10/8/2001,Columbus Day
11/11/2001,Veterans Day
11/22/2001,Thanksgiving Day
12/25/2001,Christmas Day
1/1/2002,New Year's Day
1/18/2002,Staff Development Day
1/21/2002,Martin Luther King Jr. Day
2/15/2002,Staff Development Day
2/18/2002,Presidents' Day
5/24/2002,Staff Development Day
5/27/2002,Memorial Day
7/4/2002,Independence Day
8/30/2002,Staff Development Day
9/2/2002,Labor Day
10/11/2002,Staff Development Day
10/14/2002,Columbus Day
11/8/2002,Staff Development Day
11/11/2002,Veterans Day
11/28/2002,Thanksgiving Day
12/25/2002,Christmas Day
1/1/2003,New Year's Day
1/17/2003,Staff Development Day
1/20/2003,Martin Luther King Jr. Day
2/14/2003,Staff Development Day
2/17/2003,Presidents' Day
5/23/2003,Staff Development Day
5/26/2003,Memorial Day
7/4/2003,Independence Day
8/29/2003,Staff Development Day
9/1/2003,Labor Day
10/10/2003,Staff Development Day
10/13/2003,Columbus Day
11/11/2003,Veterans Day
11/27/2003,Thanksgiving Day
12/25/2003,Christmas Day
1/1/2004,New Year's Day
1/16/2004,Staff Development Day
1/19/2004,Martin Luther King Jr. Day
2/13/2004,Staff Development Day
2/16/2004,Presidents' Day
5/28/2004,Staff Development Day
5/31/2004,Memorial Day
7/4/2004,Independence Day
9/3/2004,Staff Development Day
9/6/2004,Labor Day
10/8/2004,Staff Development Day
10/11/2004,Columbus Day
11/11/2004,Veterans Day
11/25/2004,Thanksgiving Day
12/25/2004,Christmas Day
1/1/2005,New Year's Day
1/14/2005,Staff Development Day
1/17/2005,Martin Luther King Jr. Day
1/20/2005,Inauguration Day
2/18/2005,Staff Development Day
2/21/2005,Presidents' Day
5/27/2005,Staff Development Day
5/30/2005,Memorial Day
7/1/2005,Staff Development Day
7/4/2005,Independence Day
9/2/2005,Staff Development Day
9/5/2005,Labor Day
10/7/2005,Staff Development Day
10/10/2005,Columbus Day
11/11/2005,Veterans Day
11/24/2005,Thanksgiving Day
12/25/2005,Christmas Day
1/1/2006,New Year's Day
1/13/2006,Staff Development Day
1/16/2006,Martin Luther King Jr. Day
2/17/2006,Staff Development Day
2/20/2006,Presidents' Day
5/26/2006,Staff Development Day
5/29/2006,Memorial Day
7/4/2006,Independence Day
9/1/2006,Staff Development Day
9/4/2006,Labor Day
10/6/2006,Staff Development Day
10/9/2006,Columbus Day
11/11/2006,Veterans Day
11/23/2006,Thanksgiving Day
12/22/2006,Staff Development Day
12/25/2006,Christmas Day
12/29/2006,Staff Development Day
1/1/2007,New Year's Day
1/12/2007,Staff Development Day
1/15/2007,Martin Luther King Jr. Day
2/16/2007,Staff Development Day
2/19/2007,Presidents' Day
5/25/2007,Staff Development Day
5/28/2007,Memorial Day
7/4/2007,Independence Day
8/31/2007,Staff Development Day
9/3/2007,Labor Day
10/5/2007,Staff Development Day
10/8/2007,Columbus Day
11/11/2007,Veterans Day
11/22/2007,Thanksgiving Day
12/25/2007,Christmas Day
1/1/2008,New Year's Day
1/18/2008,Staff Development Day
1/21/2008,Martin Luther King Jr. Day
2/15/2008,Staff Development Day
2/18/2008,Presidents' Day
5/23/2008,Staff Development Day
5/26/2008,Memorial Day
7/4/2008,Independence Day
8/29/2008,Staff Development Day
9/1/2008,Labor Day
10/10/2008,Staff Development Day
10/13/2008,Columbus Day
11/11/2008,Veterans Day
11/27/2008,Thanksgiving Day
12/25/2008,Christmas Day
