RateRuleID,CenterID,ClassroomType,ClassroomID,RateType,Ratio,AgeRange,ScheduleType,,
RR001,C-JP,Infant,CL-JPIN-01,City,1 to 4,0-13 months,Full-Time,,
RR002,C-JP,Infant,CL-JPIN-01,City,1 to 4,0-13 months,Part-Time-3Day,,
RR003,C-JP,Infant,CL-JPIN-01,City,1 to 4,0-13 months,Part-Time-2Day,,
RR004,C-JP,Toddler,CL-JPTO-01,City,1 to 4,13-24 months,Full-Time,,
RR005,C-JP,Toddler,CL-JPTO-01,City,1 to 4,13-24 months,Part-Time-3Day,,
RR006,C-JP,Toddler,CL-JPTO-01,City,1 to 4,13-24 months,Part-Time-2Day,,
RR007,C-JP,Preschool,CL-JPPS1-01,City,1 to 6,24-60 months,Full-Time,,
RR008,C-JP,Preschool,CL-JPPS1-01,City,1 to 6,24-60 months,Part-Time-3Day,,
RR009,C-JP,Preschool,CL-JPPS1-01,City,1 to 6,24-60 months,Part-Time-2Day,,
RR010,C-JP,Preschool,CL-JPPS2-01,City,1 to 10,24-60 months,Full-Time,,
RR011,C-JP,Preschool,CL-JPPS2-01,City,1 to 10,24-60 months,Part-Time-3Day,,
RR012,C-JP,Preschool,CL-JPPS2-01,City,1 to 10,24-60 months,Part-Time-2Day,,
RR013,C-JP,Infant,CL-JPIN-01,Community,1 to 4,0-13 months,Full-Time,,
RR014,C-JP,Infant,CL-JPIN-01,Community,1 to 4,0-13 months,Part-Time-3Day,,
RR015,C-JP,Infant,CL-JPIN-01,Community,1 to 4,0-13 months,Part-Time-2Day,,
RR016,C-JP,Toddler,CL-JPTO-01,Community,1 to 4,13-24 months,Full-Time,,
RR017,C-JP,Toddler,CL-JPTO-01,Community,1 to 4,13-24 months,Part-Time-3Day,,
RR018,C-JP,Toddler,CL-JPTO-01,Community,1 to 4,13-24 months,Part-Time-2Day,,
RR019,C-JP,Preschool,CL-JPPS1-01,Community,1 to 6,24-60 months,Full-Time,,
RR020,C-JP,Preschool,CL-JPPS1-01,Community,1 to 6,24-60 months,Part-Time-3Day,,
RR021,C-JP,Preschool,CL-JPPS1-01,Community,1 to 6,24-60 months,Part-Time-2Day,,
RR022,C-JP,Preschool,CL-JPPS2-01,Community,1 to 10,24-60 months,Full-Time,,
RR023,C-JP,Preschool,CL-JPPS2-01,Community,1 to 10,24-60 months,Part-Time-3Day,,
RR024,C-JP,Preschool,CL-JPPS2-01,Community,1 to 10,24-60 months,Part-Time-2Day,,
RR025,C-HP,Infant,CL-HPIN-01,Federal,1 to 4,0-13 months,Full-Time,,
RR026,C-HP,Infant,CL-HPIN-01,Federal,1 to 4,0-13 months,Part-Time-3Day,,
RR027,C-HP,Infant,CL-HPIN-01,Federal,1 to 4,0-13 months,Part-Time-2Day,,
RR028,C-HP,Toddler,CL-HPTO-01,Federal,1 to 4,13-24 months,Full-Time,,
RR029,C-HP,Toddler,CL-HPTO-01,Federal,1 to 4,13-24 months,Part-Time-3Day,,
RR030,C-HP,Toddler,CL-HPTO-01,Federal,1 to 4,13-24 months,Part-Time-2Day,,
RR031,C-HP,Preschool,CL-HPPS1-01,Federal,1 to 6,24-36 months,Full-Time,,
RR032,C-HP,Preschool,CL-HPPS1-01,Federal,1 to 6,24-36 months,Part-Time-3Day,,
