RateValueID,RateRuleID,RateName,MonthlyRate,EffectiveStart,EffectiveEnd
RVSTDJP2024-01,RR001,24-25,1689,7/1/2024,6/30/2025
RVSTDJP2024-02,RR002,24-25,1135,7/1/2024,6/30/2025
RVSTDJP2024-03,RR003,24-25,760,7/1/2024,6/30/2025
RVSTDJP2024-04,RR004,24-25,1462,7/1/2024,6/30/2025
RVSTDJP2024-05,RR005,24-25,990,7/1/2024,6/30/2025
RVSTDJP2024-06,RR006,24-25,695,7/1/2024,6/30/2025
RVSTDJP2024-07,RR007,24-25,1241,7/1/2024,6/30/2025
RVSTDJP2024-08,RR008,24-25,877,7/1/2024,6/30/2025
RVSTDJP2024-09,RR009,24-25,617,7/1/2024,6/30/2025
RVSTDJP2024-10,RR010,24-25,1241,7/1/2024,6/30/2025
RVSTDJP2024-11,RR011,24-25,877,7/1/2024,6/30/2025
RVSTDJP2024-12,RR012,24-25,617,7/1/2024,6/30/2025
RVSTDJP2024-13,RR013,24-25,1748,7/1/2024,6/30/2025
RVSTDJP2024-14,RR014,24-25,1175,7/1/2024,6/30/2025
RVSTDJP2024-15,RR015,24-25,784,7/1/2024,6/30/2025
RVSTDJP2024-16,RR016,24-25,1545,7/1/2024,6/30/2025
RVSTDJP2024-17,RR017,24-25,1034,7/1/2024,6/30/2025
RVSTDJP2024-18,RR018,24-25,742,7/1/2024,6/30/2025
RVSTDJP2024-19,RR019,24-25,1371,7/1/2024,6/30/2025
RVSTDJP2024-20,RR020,24-25,943,7/1/2024,6/30/2025
RVSTDJP2024-21,RR021,24-25,668,7/1/2024,6/30/2025
RVSTDJP2024-22,RR022,24-25,1371,7/1/2024,6/30/2025
RVSTDJP2024-23,RR023,24-25,943,7/1/2024,6/30/2025
RVSTDJP2024-24,RR024,24-25,668,7/1/2024,6/30/2025
RVSTDJP2025-01,RR001,25-26,2039,7/1/2025,6/30/2026
RVSTDJP2025-02,RR002,25-26,1401,7/1/2025,6/30/2026
RVSTDJP2025-03,RR003,25-26,969,7/1/2025,6/30/2026
RVSTDJP2025-04,RR004,25-26,1784,7/1/2025,6/30/2026
RVSTDJP2025-05,RR005,25-26,1219,7/1/2025,6/30/2026
RVSTDJP2025-06,RR006,25-26,861,7/1/2025,6/30/2026
RVSTDJP2025-07,RR007,25-26,1524,7/1/2025,6/30/2026
RVSTDJP2025-08,RR008,25-26,1063,7/1/2025,6/30/2026
RVSTDJP2025-09,RR009,25-26,757,7/1/2025,6/30/2026
RVSTDJP2025-10,RR010,25-26,1524,7/1/2025,6/30/2026
RVSTDJP2025-11,RR011,25-26,1063,7/1/2025,6/30/2026
RVSTDJP2025-12,RR012,25-26,757,7/1/2025,6/30/2026
RVSTDJP2025-13,RR013,25-26,2098,7/1/2025,6/30/2026
RVSTDJP2025-14,RR014,25-26,1439,7/1/2025,6/30/2026
RVSTDJP2025-15,RR015,25-26,1031,7/1/2025,6/30/2026
RVSTDJP2025-16,RR016,25-26,1847,7/1/2025,6/30/2026
RVSTDJP2025-17,RR017,25-26,1279,7/1/2025,6/30/2026
RVSTDJP2025-18,RR018,25-26,910,7/1/2025,6/30/2026
RVSTDJP2025-19,RR019,25-26,1679,7/1/2025,6/30/2026
RVSTDJP2025-20,RR020,25-26,1136,7/1/2025,6/30/2026
RVSTDJP2025-21,RR021,25-26,799,7/1/2025,6/30/2026
RVSTDJP2025-22,RR022,25-26,1679,7/1/2025,6/30/2026
RVSTDJP2025-23,RR023,25-26,1136,7/1/2025,6/30/2026
RVSTDJP2025-24,RR024,25-26,799,7/1/2025,6/30/2026
RVGFJP2025-01,RR001,25-26 Grandfathered,1915,7/1/2025,12/31/2025
RVGFJP2025-02,RR002,25-26 Grandfathered,1315,7/1/2025,12/31/2025
RVGFJP2025-03,RR003,25-26 Grandfathered,910,7/1/2025,12/31/2025
RVGFJP2025-04,RR004,25-26 Grandfathered,1676,7/1/2025,12/31/2025
RVGFJP2025-05,RR005,25-26 Grandfathered,1145,7/1/2025,12/31/2025
RVGFJP2025-06,RR006,25-26 Grandfathered,809,7/1/2025,12/31/2025
RVGFJP2025-07,RR007,25-26 Grandfathered,1431,7/1/2025,12/31/2025
RVGFJP2025-08,RR008,25-26 Grandfathered,999,7/1/2025,12/31/2025
RVGFJP2025-09,RR009,25-26 Grandfathered,711,7/1/2025,12/31/2025
RVGFJP2025-10,RR010,25-26 Grandfathered,1431,7/1/2025,12/31/2025
RVGFJP2025-11,RR011,25-26 Grandfathered,999,7/1/2025,12/31/2025
RVGFJP2025-12,RR012,25-26 Grandfathered,711,7/1/2025,12/31/2025
RVGFJP2025-13,RR013,25-26 Grandfathered,1970,7/1/2025,12/31/2025
RVGFJP2025-14,RR014,25-26 Grandfathered,1351,7/1/2025,12/31/2025
RVGFJP2025-15,RR015,25-26 Grandfathered,951,7/1/2025,12/31/2025
RVGFJP2025-16,RR016,25-26 Grandfathered,1734,7/1/2025,12/31/2025
RVGFJP2025-17,RR017,25-26 Grandfathered,1201,7/1/2025,12/31/2025
RVGFJP2025-18,RR018,25-26 Grandfathered,854,7/1/2025,12/31/2025
RVGFJP2025-19,RR019,25-26 Grandfathered,1577,7/1/2025,12/31/2025
RVGFJP2025-20,RR020,25-26 Grandfathered,1067,7/1/2025,12/31/2025
RVGFJP2025-21,RR021,25-26 Grandfathered,750,7/1/2025,12/31/2025
RVGFJP2025-22,RR022,25-26 Grandfathered,1577,7/1/2025,12/31/2025
RVGFJP2025-23,RR023,25-26 Grandfathered,1067,7/1/2025,12/31/2025
RVGFJP2025-24,RR024,25-26 Grandfathered,750,7/1/2025,12/31/2025
RVSTDHP2024-01,RR025,24-25,1773,7/1/2024,6/30/2025
RVSTDHP2024-02,RR026,24-25,1218,7/1/2024,6/30/2025
RVSTDHP2024-03,RR027,24-25,842,7/1/2024,6/30/2025
