EnrollmentID,ChildID,ClassroomID,CenterID,ScheduleType,RateName,InitialEnrollment,BeginningDate,FinishingDate,Notes
ENR0001,CH0500,CL-JPIN-01,C-JP,Part-Time-3Day,24-25,3/3/2025,3/3/2025,6/3/2025,Initial enrollment
ENR0002,CH0500,CL-JPTO-01,C-JP,Full-Time,24-25,3/3/2025,6/4/2025,6/30/2025,Aged into new classroom; Schedule change
ENR0002,CH0500,CL-JPTO-01,C-JP,Full-Time,25-26 Grandfathered,3/3/2025,7/1/2025,5/4/2026,Rate policy change
ENR0003,CH0500,CL-JPPS1-01,C-JP,Full-Time,25-26,3/3/2025,5/5/2026,6/30/2026,Aged into new classroom; Rate policy change
ENR0003,CH0500,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),3/3/2025,7/1/2026,5/5/2027,Rate policy change
ENR0004,CH0500,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),3/3/2025,5/6/2027,6/30/2027,Aged into new classroom
ENR0004,CH0500,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),3/3/2025,7/1/2027,6/30/2028,Rate policy change
ENR0004,CH0500,CL-JPPS2-01,C-JP,Full-Time,28-29 (Placeholder),3/3/2025,7/1/2028,5/6/2029,Rate policy change
ENR0005,CH0501,CL-JPIN-01,C-JP,Part-Time-3Day,24-25,3/29/2025,3/29/2025,5/29/2025,Initial enrollment
ENR0006,CH0501,CL-JPTO-01,C-JP,Part-Time-3Day,24-25,3/29/2025,5/30/2025,6/30/2025,Aged into new classroom
ENR0006,CH0501,CL-JPTO-01,C-JP,Part-Time-3Day,25-26 Grandfathered,3/29/2025,7/1/2025,4/30/2026,Rate policy change
ENR0007,CH0501,CL-JPPS1-01,C-JP,Part-Time-3Day,25-26,3/29/2025,5/1/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0007,CH0501,CL-JPPS1-01,C-JP,Part-Time-3Day,26-27 (Placeholder),3/29/2025,7/1/2026,5/1/2027,Rate policy change
ENR0008,CH0501,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),3/29/2025,5/2/2027,6/30/2027,Aged into new classroom; Schedule change
ENR0008,CH0501,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),3/29/2025,7/1/2027,6/30/2028,Rate policy change
ENR0008,CH0501,CL-JPPS2-01,C-JP,Full-Time,28-29 (Placeholder),3/29/2025,7/1/2028,5/2/2029,Rate policy change
ENR0009,CH0502,CL-JPIN-01,C-JP,Full-Time,24-25,1/23/2025,1/23/2025,6/30/2025,Initial enrollment
ENR0009,CH0502,CL-JPIN-01,C-JP,Full-Time,25-26 Grandfathered,1/23/2025,7/1/2025,10/23/2025,Rate policy change
ENR0010,CH0502,CL-JPTO-01,C-JP,Full-Time,25-26 Grandfathered,1/23/2025,10/24/2025,6/29/2026,Aged into new classroom
ENR0010,CH0502,CL-JPTO-01,C-JP,Full-Time,25-26,1/23/2025,6/30/2026,6/30/2026,Rate policy change
ENR0010,CH0502,CL-JPTO-01,C-JP,Full-Time,26-27 (Placeholder),1/23/2025,7/1/2026,9/24/2026,Rate policy change
ENR0011,CH0502,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),1/23/2025,9/25/2026,6/30/2027,Aged into new classroom
ENR0011,CH0502,CL-JPPS1-01,C-JP,Full-Time,27-28 (Placeholder),1/23/2025,7/1/2027,9/25/2027,Rate policy change
ENR0012,CH0502,CL-JPPS2-01,C-JP,Part-Time-3Day,27-28 (Placeholder),1/23/2025,9/26/2027,6/30/2028,Aged into new classroom; Schedule change
ENR0012,CH0502,CL-JPPS2-01,C-JP,Part-Time-3Day,28-29 (Placeholder),1/23/2025,7/1/2028,6/30/2029,Rate policy change
ENR0012,CH0502,CL-JPPS2-01,C-JP,Part-Time-3Day,29-30 (Placeholder),1/23/2025,7/1/2029,9/26/2029,Rate policy change
ENR0013,CH0503,CL-JPIN-01,C-JP,Full-Time,24-25,3/4/2025,3/4/2025,6/30/2025,Initial enrollment
ENR0013,CH0503,CL-JPIN-01,C-JP,Full-Time,25-26 Grandfathered,3/4/2025,7/1/2025,7/4/2025,Rate policy change
ENR0014,CH0503,CL-JPTO-01,C-JP,Full-Time,25-26 Grandfathered,3/4/2025,7/5/2025,6/5/2026,Aged into new classroom
ENR0015,CH0503,CL-JPPS1-01,C-JP,Part-Time-2Day,25-26,3/4/2025,6/6/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0015,CH0503,CL-JPPS1-01,C-JP,Part-Time-2Day,26-27 (Placeholder),3/4/2025,7/1/2026,6/6/2027,Rate policy change
ENR0016,CH0503,CL-JPPS2-01,C-JP,Part-Time-3Day,26-27 (Placeholder),3/4/2025,6/7/2027,6/30/2027,Aged into new classroom; Schedule change
ENR0016,CH0503,CL-JPPS2-01,C-JP,Part-Time-3Day,27-28 (Placeholder),3/4/2025,7/1/2027,6/30/2028,Rate policy change
ENR0016,CH0503,CL-JPPS2-01,C-JP,Part-Time-3Day,28-29 (Placeholder),3/4/2025,7/1/2028,6/7/2029,Rate policy change
ENR0017,CH0504,CL-JPIN-01,C-JP,Full-Time,24-25,11/7/2024,11/7/2024,6/30/2025,Initial enrollment
ENR0017,CH0504,CL-JPIN-01,C-JP,Full-Time,25-26 Grandfathered,11/7/2024,7/1/2025,12/7/2025,Rate policy change
ENR0018,CH0504,CL-JPTO-01,C-JP,Part-Time-3Day,25-26 Grandfathered,11/7/2024,12/8/2025,6/29/2026,Aged into new classroom; Schedule change
ENR0018,CH0504,CL-JPTO-01,C-JP,Part-Time-3Day,25-26,11/7/2024,6/30/2026,6/30/2026,Rate policy change
ENR0018,CH0504,CL-JPTO-01,C-JP,Part-Time-3Day,26-27 (Placeholder),11/7/2024,7/1/2026,11/8/2026,Rate policy change
ENR0019,CH0504,CL-JPPS1-01,C-JP,Part-Time-3Day,26-27 (Placeholder),11/7/2024,11/9/2026,6/30/2027,Aged into new classroom; Schedule change
ENR0019,CH0504,CL-JPPS1-01,C-JP,Part-Time-3Day,27-28 (Placeholder),11/7/2024,7/1/2027,11/9/2027,Rate policy change
