Date,CenterID,ClassroomID,EnrollmentCount,FTEEnrollment,RatioRequired,StaffNeeded
1/16/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/19/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/20/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/21/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/22/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/23/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/26/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/27/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/28/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/29/1998,C-LCV,CL-LCVTO-01,1,1,6,1
1/30/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/2/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/3/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/4/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/5/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/6/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/9/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/10/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/11/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/12/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/13/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/16/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/17/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/18/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/19/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/20/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/23/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
2/23/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/24/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
2/24/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/25/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
2/25/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/26/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
2/26/1998,C-LCV,CL-LCVTO-01,1,1,6,1
2/27/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
2/27/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/2/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/2/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/3/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/3/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/4/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/4/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/5/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/5/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/6/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/6/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/9/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/9/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/10/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/10/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/11/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/11/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/12/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/12/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/13/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/13/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/16/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/16/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/17/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/17/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/17/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/18/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/18/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/18/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/19/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/19/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/19/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/20/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/20/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/20/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/23/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/23/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/23/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/24/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/24/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/24/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/25/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/25/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/25/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/26/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/26/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/26/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/27/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/27/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/27/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/30/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/30/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/30/1998,C-LCV,CL-LCVTO-01,1,1,6,1
3/31/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
3/31/1998,C-LCV,CL-LCVPS-01,1,1,10,1
3/31/1998,C-LCV,CL-LCVTO-01,1,1,6,1
4/1/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/1/1998,C-LCV,CL-LCVPS-01,1,1,10,1
4/1/1998,C-LCV,CL-LCVTO-01,1,1,6,1
4/2/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/2/1998,C-LCV,CL-LCVPS-01,1,1,10,1
4/2/1998,C-LCV,CL-LCVTO-01,1,1,6,1
4/3/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/3/1998,C-LCV,CL-LCVPS-01,1,1,10,1
4/3/1998,C-LCV,CL-LCVTO-01,1,1,6,1
4/6/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/6/1998,C-LCV,CL-LCVPS-01,2,1.4,10,1
4/6/1998,C-LCV,CL-LCVTO-01,1,1,6,1
4/7/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/7/1998,C-LCV,CL-LCVPS-01,1,1,10,1
4/7/1998,C-LCV,CL-LCVTO-01,2,1.4,6,1
4/8/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/8/1998,C-LCV,CL-LCVPS-01,1,1,10,1
4/8/1998,C-LCV,CL-LCVTO-01,1,1,6,1
4/9/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/9/1998,C-LCV,CL-LCVPS-01,1,1,10,1
4/9/1998,C-LCV,CL-LCVTO-01,2,1.4,6,1
4/10/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/10/1998,C-LCV,CL-LCVPS-01,1,1,10,1
4/10/1998,C-LCV,CL-LCVTO-01,1,1,6,1
4/13/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/13/1998,C-LCV,CL-LCVPS-01,1,1,10,1
4/13/1998,C-LCV,CL-LCVTO-01,1,1,6,1
4/14/1998,C-LCV,CL-LCVIN-01,1,1.6,4,1
4/14/1998,C-LCV,CL-LCVPS-01,1,1,10,1
