TeacherID,EventDate,EventType,CenterID,ClassroomID,Position,Notes
T-0001,1/8/1998,Hire,C-LCV,CL-LCVTO-01,Teacher,Initial staff hire Jan 1998
T-0002,2/3/1998,Hire,C-LCV,CL-LCVIN-01,Lead Teacher,Hire to meet staffing need February 1998
T-0003,3/7/1998,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need March 1998
T-0004,7/7/1998,Hire,C-HP,CL-HPPS2-01,Lead Teacher,Hire to meet staffing need July 1998
T-0005,7/9/1998,Hire,C-JP,CL-JPPS2-01,Assistant Teacher,Hire to meet staffing need July 1998
T-0006,6/22/1999,Hire,C-HP,CL-HPPS1-01,Teacher,Hire to meet staffing need June 1999
T-0007,6/21/1999,Hire,C-HP,CL-HPTO-01,Teacher,Hire to meet staffing need June 1999
T-0005,8/1/1999,Promotion,C-JP,CL-JPPS2-01,Teacher,Promotion to Teacher
T-0008,8/7/1999,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need August 1999
T-0009,9/8/1999,Hire,C-TD,CL-TDPS-01,Teacher,Hire to meet staffing need September 1999
T-0005,11/1/1999,Termination,C-JP,CL-JPPS2-01,Teacher,Staff voluntarily left
T-0010,11/14/1999,Hire,C-JP,CL-JPPS2-01,Teacher,Hire to meet staffing need November 1999
T-0001,1/1/2000,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0005,1/1/2000,Promotion,C-JP,CL-JPPS2-01,Teacher,Promotion to Teacher
T-0004,1/1/2000,Promotion,C-HP,,Site Supervisor,Promoted to Site Supervisor for center growth
T-0001,1/1/2000,Promotion,C-LCV,,Site Supervisor,Promoted to Site Supervisor for center growth
T-0014,1/19/2000,Hire,C-LCV,CL-LCVIN-01,Lead Teacher,Hire to meet staffing need January 2000
T-0003,3/1/2000,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0009,4/1/2000,Termination,C-TD,CL-TDPS-01,Teacher,Staff voluntarily left
T-0015,4/17/2000,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need April 2000
T-0016,6/16/2000,Hire,C-JP,,Site Supervisor,New hire Site Supervisor for center growth
T-0005,7/1/2000,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0017,10/28/2000,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need October 2000
T-0018,12/13/2000,Hire,C-HP,CL-HPIN-01,Lead Teacher,Hire to meet staffing need December 2000
T-0001,1/1/2001,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0003,1/1/2001,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0005,1/1/2001,Promotion,C-JP,CL-JPPS2-01,Teacher,Promotion to Teacher
T-0005,2/1/2001,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0006,7/1/2001,Promotion,C-HP,CL-HPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0007,7/1/2001,Promotion,C-HP,CL-HPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0008,8/1/2001,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0008,8/1/2001,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
