PayrollID,TeacherID,CenterID,ClassroomID,Date,HoursWorked,HourlyRate,GrossPay,Notes,TaxesOwed,BenefitsCost,TotalCostToEmployer
PAY-20250101-T-0001,T-0001,C-JP,CL-LCVTO-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0002,T-0002,C-LCV,CL-LCVIN-01,1/1/2025,8.5,27,229.5,,18.36,22.95,270.81
PAY-20250101-T-0003,T-0003,C-LCV,CL-LCVPS-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0004,T-0004,C-HP,CL-HPPS2-01,1/1/2025,8.5,27,229.5,,18.36,22.95,270.81
PAY-20250101-T-0005,T-0005,C-JP,CL-JPPS2-01,1/1/2025,8.5,20.81,176.88,,14.15,17.69,208.72
PAY-20250101-T-0006,T-0006,C-HP,CL-HPPS1-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0007,T-0007,C-HP,CL-HPTO-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0008,T-0008,C-LCV,CL-LCVIN-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0009,T-0009,C-TD,CL-TDPS-01,1/1/2025,9.5,23.62,224.39,,17.95,22.44,264.78
PAY-20250101-T-0010,T-0010,C-JP,CL-JPPS2-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0014,T-0014,C-HP,CL-LCVIN-01,1/1/2025,8.5,27,229.5,,18.36,22.95,270.81
PAY-20250101-T-0015,T-0015,C-HP,CL-LCVPS-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0016,T-0016,C-JP,,1/1/2025,8.5,0,0,,0,0,0
PAY-20250101-T-0017,T-0017,C-JP,CL-LCVTO-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0018,T-0018,C-HP,CL-HPIN-01,1/1/2025,8.5,27,229.5,,18.36,22.95,270.81
PAY-20250101-T-0019,T-0019,C-JP,CL-JPPS1-01,1/1/2025,8.5,27,229.5,,18.36,22.95,270.81
PAY-20250101-T-0020,T-0020,C-JP,CL-JPPS2-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0021,T-0021,C-JP,CL-JPPS2-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0022,T-0022,C-LCV,CL-LCVTO-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0023,T-0023,C-LCV,CL-LCVIN-01,1/1/2025,0,0,0,Absent,0,0,0
PAY-20250101-T-0024,T-0024,C-TD,CL-TDPS-01,1/1/2025,8.5,20.81,176.88,,14.15,17.69,208.72
PAY-20250101-T-0025,T-0025,C-TD,CL-TDTO-01,1/1/2025,8.5,27,229.5,,18.36,22.95,270.81
PAY-20250101-T-0026,T-0026,C-TD,CL-TDTO-01,1/1/2025,8.5,27,229.5,,18.36,22.95,270.81
PAY-20250101-T-0027,T-0027,C-LCV,CL-LCVPS-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0028,T-0028,C-HP,CL-HPPS1-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0029,T-0029,C-JP,CL-JPTO-01,1/1/2025,9,20.81,187.29,,14.98,18.73,221
PAY-20250101-T-0030,T-0030,C-LCV,CL-LCVTO-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0031,T-0031,C-JP,CL-LCVPS-01,1/1/2025,8.5,27,229.5,,18.36,22.95,270.81
PAY-20250101-T-0032,T-0032,C-JP,CL-JPTO-01,1/1/2025,8.5,20.81,176.88,,14.15,17.69,208.72
PAY-20250101-T-0033,T-0033,C-HP,CL-HPTO-01,1/1/2025,8.5,23.62,200.77,,16.06,20.08,236.91
PAY-20250101-T-0034,T-0034,C-LCV,CL-LCVPS-01,1/1/2025,8.5,20.81,176.88,,14.15,17.69,208.72
