PaymentID,ChildID,GivingEntityID,PaymentDate,LinkedInvoiceID,AmountPaid,PaymentMethod,Notes
PMID0000000000001,CH0500,GID0500,5/1/2025,INV2025040001,1175,TuitionExpress,Family payment
PMID0000000000002,CH0501,GID0501,4/30/2025,INV2025040002,1135,TuitionExpress,Family payment
PMID0000000000003,CH0502,GID0502,5/8/2025,INV2025040003,1689,TuitionExpress,Family payment
PMID0000000000004,CH0503,SUB002,5/24/2025,INV2025040004,1250,Wire Transfer,Subsidy payment
PMID0000000000005,CH0503,CH0503-FAM,5/4/2025,INV2025040004,439,TuitionExpress,Family payment
PMID0000000000006,CH0504,GID0504,5/7/2025,INV2025040005,1689,ACH,Family payment
PMID0000000000007,CH0505,GID0505,5/4/2025,INV2025040006,760,TuitionExpress,Family payment
PMID0000000000008,CH0506,GID0506,5/8/2025,INV2025040007,1135,TuitionExpress,Family payment
PMID0000000000009,CH0507,GID0507,5/10/2025,INV2025040008,760,TuitionExpress,Family payment
PMID0000000000010,CH0508,GID0508,4/30/2025,INV2025040009,990,TuitionExpress,Family payment
PMID0000000000011,CH0509,GID0509,5/21/2025,INV2025040010,990,TuitionExpress,Family payment
PMID0000000000012,CH0510,GID0510,5/7/2025,INV2025040011,990,Check,Family payment
PMID0000000000013,CH0511,GID0511,5/3/2025,INV2025040012,1462,TuitionExpress,Family payment
PMID0000000000014,CH0512,GID0512,5/9/2025,INV2025040013,1462,TuitionExpress,Family payment
PMID0000000000015,CH0513,GID0513,5/1/2025,INV2025040014,990,TuitionExpress,Family payment
PMID0000000000016,CH0514,GID0514,5/10/2025,INV2025040015,1462,TuitionExpress,Family payment
PMID0000000000017,CH0515,GID0515,5/8/2025,INV2025040016,1135,TuitionExpress,Family payment
PMID0000000000018,CH0515,GID0515,5/1/2025,INV2025040017,990,TuitionExpress,Family payment
PMID0000000000019,CH0516,GID0516,5/1/2025,INV2025040018,1545,TuitionExpress,Family payment
PMID0000000000020,CH0517,GID0517,5/4/2025,INV2025040019,829.45,TuitionExpress,Family payment
PMID0000000000021,CH0518,GID0518,5/10/2025,INV2025040020,877,TuitionExpress,Family payment
PMID0000000000022,CH0519,GID0519,5/8/2025,INV2025040021,1241,TuitionExpress,Family payment
PMID0000000000023,CH0520,SUB003,6/13/2025,INV2025040022,862.9,Agency ACH,Subsidy payment
PMID0000000000024,CH0520,CH0520-FAM,5/4/2025,INV2025040022,508.1,TuitionExpress,Family payment
PMID0000000000025,CH0521,GID0521,5/7/2025,INV2025040023,877,TuitionExpress,Family payment
PMID0000000000026,CH0522,GID0522,5/10/2025,INV2025040024,1241,TuitionExpress,Family payment
PMID0000000000027,CH0523,GID0523,5/6/2025,INV2025040025,943,TuitionExpress,Family payment
PMID0000000000028,CH0524,GID0524,5/4/2025,INV2025040026,1241,ACH,Family payment
PMID0000000000029,CH0525,GID0525,5/7/2025,INV2025040027,1241,TuitionExpress,Family payment
PMID0000000000030,CH0526,GID0526,5/3/2025,INV2025040028,877,TuitionExpress,Family payment
PMID0000000000031,CH0527,GID0527,5/17/2025,INV2025040029,1241,TuitionExpress,Family payment
PMID0000000000032,CH0528,GID0528,5/10/2025,INV2025040030,1241,Check,Family payment
PMID0000000000033,CH0529,SUB002,5/30/2025,INV2025040031,1054.85,Agency ACH,Subsidy payment
PMID0000000000034,CH0529,CH0529-FAM,5/3/2025,INV2025040031,186.15,TuitionExpress,Family payment
PMID0000000000035,CH0530,GID0530,5/6/2025,INV2025040032,617,TuitionExpress,Family payment
PMID0000000000036,CH0531,GID0531,5/10/2025,INV2025040033,1241,TuitionExpress,Family payment
PMID0000000000037,CH0532,GID0532,5/1/2025,INV2025040034,877,ACH,Family payment
PMID0000000000038,CH0533,GID0533,5/4/2025,INV2025040035,943,TuitionExpress,Family payment
PMID0000000000039,CH0534,GID0534,5/8/2025,INV2025040036,1241,TuitionExpress,Family payment
PMID0000000000040,CH0535,GID0535,5/1/2025,INV2025040037,617,TuitionExpress,Family payment
PMID0000000000041,CH0536,GID0536,5/3/2025,INV2025040038,877,Check,Family payment
PMID0000000000042,CH0537,GID0537,5/6/2025,INV2025040039,1384.98,TuitionExpress,Family payment
